Id,Predicted
candidate100,0.37794554
candidate103,0.36052987
candidate107,0.35824847
candidate108,0.8627161
candidate11,0.38003072
candidate112,0.47151208
candidate116,0.7
candidate117,0.7
candidate118,0.43176726
candidate128,0.7
candidate129,0.7
candidate13,0.7752634
candidate132,0.5803447
candidate137,0.24595305
candidate144,0.3227219
candidate146,0.9
candidate149,0.59500754
candidate15,0.28557867
candidate165,0.4745426
candidate167,0.9
candidate17,0.68273073
candidate170,0.3
candidate174,0.7
candidate178,0.46969914
candidate189,0.7180166
candidate191,0.670661
candidate194,0.49848932
candidate195,0.3852594
candidate197,0.20995128
candidate201,0.34444854
candidate204,0.7
candidate22,0.35445738
candidate223,0.46803504
candidate239,0.3
candidate251,0.421319
candidate252,0.8
candidate259,0.6554081
candidate26,0.6
candidate264,0.3
candidate268,0.34034574
candidate274,0.6361193
candidate275,0.583046
candidate278,0.4551974
candidate284,0.3
candidate286,0.6589694
candidate290,0.70454997
candidate300,0.33887547
candidate301,0.3968004
candidate302,0.8
candidate309,0.7
candidate312,0.4011398
candidate329,0.6
candidate33,0.6
candidate333,0.54811454
candidate344,0.4563614
candidate346,0.44481802
candidate348,0.3
candidate354,0.76154524
candidate357,0.49450552
candidate360,0.4702495
candidate363,0.3513229
candidate368,0.57662976
candidate373,0.41178516
candidate384,0.620349
candidate390,0.52586097
candidate394,0.33748907
candidate396,0.46826774
candidate397,0.42593908
candidate398,0.4487224
candidate40,0.6608596
candidate402,0.34203207
candidate403,0.48428178
candidate412,0.5663647
candidate42,0.6302594
candidate424,0.7
candidate427,0.29600558
candidate431,0.42242455
candidate439,0.7052394
candidate440,0.36316612
candidate450,0.43529627
candidate451,0.6731696
candidate455,0.7830179
candidate456,0.55898064
candidate458,0.43645218
candidate459,0.8
candidate463,0.6177253
candidate466,0.7871899
candidate483,0.6505922
candidate486,0.29347444
candidate489,0.40660155
candidate49,0.4
candidate491,0.63334304
candidate493,0.8
candidate498,0.55558646
candidate499,0.7
candidate502,0.34817195
candidate509,0.70380455
candidate513,0.639122
candidate524,0.4
candidate530,0.6467011
candidate544,0.41256833
candidate556,0.3
candidate56,0.4457545
candidate563,0.6
candidate564,0.67317617
candidate565,0.52149314
candidate580,0.53808486
candidate582,0.42320395
candidate59,0.6414938
candidate60,0.47451374
candidate68,0.45540056
candidate75,0.7
candidate76,0.501131
candidate77,0.34572336
candidate79,0.46716052
candidate85,0.28053373
candidate99,0.71823037
